iter	RMSE
125	5.05820179
126	5.045644757
127	5.027182433
128	5.012550862
129	4.999087222
130	4.981168196
131	4.970873819
132	4.955655882
133	4.947891501
134	4.938809615
135	4.927086902
136	4.917988118
137	4.908584259
138	4.898615672
139	4.891919384
140	4.879128507
141	4.872510776
142	4.866214306
143	4.859271127
144	4.852286705
145	4.846404264
146	4.830795231
147	4.81727997
148	4.812713998
149	4.802987311
150	4.800635016
151	4.789263395
152	4.781249828
153	4.773944794
154	4.768902334
155	4.759261824
156	4.747048102
157	4.734382077
158	4.729591903
159	4.724374458
160	4.719265592
161	4.712837016
162	4.699917651
163	4.693013628
164	4.682124787
165	4.674903378
166	4.669614204
167	4.661405142
168	4.65055555
169	4.645002434
170	4.635872245
171	4.630905937
172	4.618061499
173	4.606656348
174	4.599694435
175	4.588652788
176	4.583467978
177	4.58101893
178	4.570624898
179	4.561725914
180	4.549895337
181	4.54813765
182	4.540589178
183	4.531632805
184	4.526308107
185	4.523192767
186	4.516391342
187	4.512281094
188	4.503109078
189	4.491865216
190	4.486805233
191	4.47674207
192	4.467118713
193	4.461274702
194	4.451203591
195	4.443459193
196	4.431233667
197	4.425961377
198	4.418977321
199	4.41353676
200	4.407952228
201	4.401655705
202	4.39824186
203	4.389800891
204	4.385171036
205	4.380248181
206	4.374453297
207	4.370209148
208	4.36584565
209	4.356819642
210	4.352151664
211	4.347521732
212	4.344651105
213	4.339610878
214	4.336304073
215	4.329189748
216	4.324127751
217	4.316351609
218	4.310790239
219	4.309066555
220	4.30040189
221	4.295321965
222	4.289870083
223	4.282643577
224	4.279996573
225	4.276235858
226	4.270422594
227	4.265659815
228	4.258520797
229	4.252626518
230	4.24853408
231	4.245841439
232	4.242310815
233	4.241285414
234	4.232970798
235	4.226090302
236	4.220011961
237	4.214002143
238	4.206916488
239	4.198980618
240	4.196626844
241	4.193797536
242	4.190942995
243	4.188705062
244	4.186444315
245	4.180948661
246	4.171868609
247	4.166661331
248	4.161540481
249	4.160762299
250	4.152544783
251	4.147720446
252	4.140567795
253	4.134855823
254	4.131319576
255	4.124991341
256	4.120074952
257	4.114412527
258	4.111191958
259	4.110487564
260	4.102098789
261	4.099531859
262	4.094722339
263	4.094129461
264	4.08809643
265	4.083336954
266	4.080701263
267	4.075658682
268	4.073111388
269	4.067704956
270	4.063462751
271	4.057297379
272	4.054425435
273	4.045913505
274	4.045298607
275	4.035378618
276	4.025625841
277	4.022114153
278	4.016467824
279	4.012774201
280	4.01198201
281	4.00821972
282	4.005225419
283	3.997921409
284	3.990495376
285	3.985168411
286	3.981083137
287	3.979352486
288	3.977795927
289	3.977157863
290	3.973005193
291	3.967018572
292	3.966614443
293	3.959085334
294	3.952811473
295	3.945618298
296	3.945019147
297	3.944635244
298	3.937024711
299	3.931927942
300	3.926486295
301	3.922599467
302	3.915989778
303	3.912973585
304	3.909917839
305	3.908007904
306	3.901347055
307	3.898561284
308	3.894017138
309	3.886752423
310	3.88235399
311	3.881089091
312	3.877652466
313	3.877326464
314	3.870297023
315	3.862672995
316	3.86019152
317	3.853527377
318	3.849662141
319	3.846431789
320	3.842670542
321	3.840903677
322	3.839141594
323	3.832503649
324	3.829379737
325	3.825134271
326	3.817797693
327	3.816210154
328	3.810610932
329	3.80990644
330	3.809384178
331	3.807310796
332	3.801674949
333	3.797572343
334	3.795838335
335	3.79140775
336	3.782972608
337	3.776536673
338	3.775981548
339	3.774832531
340	3.767986993
341	3.760515037
342	3.755308964
343	3.752262489
344	3.751784824
345	3.744565367
346	3.738052166
347	3.734867674
348	3.733041146
349	3.73070309
350	3.722162245
351	3.717042072
352	3.712663308
353	3.709960188
354	3.703329079
355	3.698509249
356	3.695490393
357	3.693484822
358	3.685115513
359	3.679482917
360	3.674829881
361	3.670755374
362	3.668736177
363	3.667364617
364	3.659337195
365	3.650441036
366	3.644246349
367	3.642697956
368	3.6346432
369	3.63369931
370	3.630448404
371	3.62410428
372	3.620132517
373	3.61790448
374	3.608717583
375	3.607252396
376	3.605073885
377	3.598093401
378	3.596470683
379	3.591134292
380	3.585047261
381	3.583152599
382	3.575767856
383	3.575341835
384	3.570694709
385	3.569713823
386	3.566199945
387	3.565138402
388	3.556607815
389	3.551847768
390	3.549054106
391	3.540636768
392	3.538721283
393	3.532771273
394	3.526974782
395	3.52596373
396	3.51889914
397	3.514718073
398	3.511188444
399	3.510288545
400	3.505485352
401	3.501016756
402	3.498704168
403	3.494069997
404	3.491792497
405	3.49062739
406	3.48853815
407	3.483311558
408	3.476730557
409	3.470892213
410	3.464959234
411	3.464269649
412	3.462584662
413	3.4592515
414	3.455049802
415	3.452196999
416	3.446183114
417	3.443299722
418	3.441455772
419	3.435281469
420	3.428864187
421	3.424923924
422	3.422373426
423	3.42132013
424	3.414384443
425	3.411373805
426	3.40929587
427	3.407037027
428	3.402184082
429	3.400550176
430	3.397578058
431	3.390557232
432	3.386613196
433	3.383433613
434	3.381723983
435	3.378947381
436	3.377287456
437	3.373067711
438	3.368269187
439	3.36168211
440	3.354834712
441	3.351232078
442	3.348778632
443	3.342547197
444	3.341583538
445	3.338139814
446	3.335425225
447	3.3313541
448	3.328763917
449	3.32170683
450	3.314590731
451	3.305414017
452	3.304780878
453	3.302748557
454	3.301832179
455	3.298242173
456	3.296644187
457	3.293404702
458	3.291835949
459	3.285613324
460	3.280253534
461	3.275969778
462	3.27244014
463	3.266798651
464	3.265444194
465	3.264162015
466	3.257609086
467	3.249395434
468	3.24630771
469	3.243090329
470	3.240578188
471	3.234440115
472	3.229427308
473	3.228311244
474	3.22778728
475	3.225585813
476	3.220737418
477	3.216734647
478	3.213310288
479	3.208978675
480	3.199245661
481	3.198352138
482	3.193808619
483	3.189265448
484	3.186749577
485	3.183024771
486	3.177474289
487	3.17274953
488	3.171588103
489	3.166456629
490	3.165187001
491	3.164281134
492	3.162229228
493	3.16103124
494	3.156247698
495	3.155508678
496	3.149213883
497	3.146746947
498	3.142424239
499	3.139481607
500	3.137712273
501	3.133954322
502	3.131841028
503	3.130731814
504	3.125036456
505	3.12071656
506	3.116358405
507	3.111612567
508	3.109810933
509	3.107982899
510	3.107574015
511	3.106444111
512	3.101785792
513	3.098934165
514	3.09211255
515	3.087103174
516	3.082900361
517	3.081883016
518	3.0815507
519	3.078914465
520	3.07618554
521	3.074935249
522	3.073489477
523	3.067726937
524	3.064190927
525	3.058535516
526	3.053108945
527	3.047690693
528	3.045283225
529	3.044142541
530	3.041362048
531	3.040299912
532	3.038716627
533	3.034812137
534	3.034148845
535	3.032051348
536	3.024355941
537	3.023636494
538	3.023204743
539	3.021309543
540	3.019491586
541	3.013197934
542	3.011375829
543	3.008507968
544	3.006041736
545	3.000488991
546	2.998307747
547	2.997932069
548	2.994318673
549	2.992071288
550	2.987194571
551	2.985490628
552	2.985089953
553	2.980249489
554	2.979361852
555	2.97810242
556	2.973472212
557	2.968121834
558	2.96270175
559	2.95978843
560	2.952559875
561	2.951788602
562	2.949062767
563	2.946324498
564	2.942616134
565	2.93997021
566	2.935373154
567	2.934470573
568	2.932458247
569	2.931303888
570	2.923594754
571	2.919189514
572	2.917637859
573	2.914835446
574	2.909251891
575	2.904920337
576	2.903573482
577	2.89897175
578	2.895043934
579	2.893248265
580	2.892749383
581	2.887458034
582	2.885811403
583	2.880865746
584	2.879704248
585	2.876735315
586	2.875848832
587	2.868937064
588	2.862462186
589	2.858667744
590	2.854913848
591	2.852514124
592	2.846637971
593	2.843359659
594	2.838439072
595	2.837843861
596	2.834686711
597	2.832701021
598	2.829330511
599	2.826278721
600	2.822438973
601	2.817870084
602	2.812481035
603	2.811470577
604	2.809561784
605	2.803722709
606	2.80207994
607	2.797763448
608	2.792577413
609	2.791195263
610	2.787406175
611	2.783749574
612	2.779496916
613	2.776597039
614	2.77486946
615	2.768911715
616	2.767255666
617	2.764290872
618	2.763525448
619	2.760866529
620	2.759400835
621	2.758072643
622	2.756769523
623	2.754761535
624	2.751304169
625	2.7474914
626	2.746085017
627	2.74342578
628	2.739661555
629	2.736199814
630	2.733548018
631	2.730539657
632	2.726175366
633	2.723942573
634	2.718544642
635	2.714834196
636	2.713734222
637	2.70899201
638	2.706826292
639	2.706526366
640	2.703032863
641	2.700223193
642	2.695364466
643	2.694119853
644	2.689088855
645	2.687153274
646	2.684910724
647	2.682568248
648	2.67951075
649	2.673925856
650	2.668575239
651	2.667044842
652	2.666183654
653	2.663400511
654	2.658812978
655	2.654836173
656	2.654457648
657	2.651541118
658	2.649058445
659	2.648438225
660	2.644907773
661	2.641272042
662	2.640548925
663	2.635384484
664	2.630184756
665	2.626111859
666	2.623040439
667	2.617750785
668	2.614033435
669	2.609251977
670	2.605133144
671	2.604027354
672	2.600704582
673	2.596543473
674	2.595065704
675	2.591228325
676	2.586891363
677	2.585496688
678	2.581591479
679	2.579032193
680	2.577992492
681	2.574155466
682	2.570709558
683	2.567116526
684	2.562281912
685	2.561276019
686	2.558828182
687	2.558478351
688	2.554614837
689	2.552081489
690	2.548194587
691	2.547368468
692	2.546211358
693	2.53938308
694	2.535658995
695	2.530331595
696	2.529791453
697	2.528329095
698	2.527557745
699	2.527203531
700	2.52075219
701	2.516598575
702	2.513205472
703	2.51032462
704	2.506200448
705	2.502083336
706	2.500631823
707	2.499784763
708	2.497474579
709	2.495974001
710	2.493124351
711	2.492398776
712	2.48621039
713	2.484190454
714	2.482439934
715	2.479895351
716	2.478248205
717	2.476619121
718	2.47264571
719	2.471943673
720	2.47082319
721	2.46806246
722	2.465222964
723	2.461288069
724	2.458835679
725	2.458584727
726	2.457327806
727	2.454829787
728	2.453556095
729	2.451364783
730	2.448065256
731	2.444915795
732	2.443614411
733	2.442123362
734	2.438934733
735	2.436430752
736	2.435443443
737	2.434117181
738	2.431394241
739	2.430338726
740	2.429093023
741	2.427614478
742	2.424524212
743	2.423675032
744	2.42295627
745	2.421600144
746	2.421358725
747	2.418232463
748	2.415982487
749	2.414825311
750	2.411564515
751	2.408545673
752	2.404829932
753	2.404176998
754	2.403088958
755	2.400843216
756	2.397240514
757	2.39579194
758	2.393069876
759	2.391226968
760	2.388503348
761	2.386955892
762	2.382878279
763	2.379966043
764	2.378143326
765	2.374790047
766	2.374351737
767	2.371004644
768	2.369880232
769	2.367977274
770	2.366109766
771	2.361866685
772	2.360862092
773	2.359565964
774	2.359316114
775	2.356168338
776	2.353782105
777	2.35080091
778	2.349592158
779	2.348824512
780	2.343224273
781	2.340228698
782	2.3373493
783	2.337164258
784	2.33253499
785	2.330427042
786	2.32718305
787	2.326114997
788	2.322126654
789	2.319385133
790	2.316285785
791	2.311147884
792	2.307196365
793	2.306471927
794	2.303376775
795	2.301900487
796	2.298356833
797	2.29391546
798	2.291942351
799	2.29031477
800	2.287602299
801	2.285875656
802	2.28178579
803	2.280295088
804	2.280076568
805	2.279884472
806	2.277712811
807	2.275385681
808	2.27450793
809	2.270720267
810	2.267554233
811	2.265966134
812	2.265649812
813	2.263417633
814	2.258349398
815	2.258188845
816	2.253501245
817	2.250135882
818	2.247918133
819	2.246405993
820	2.243695729
821	2.239846154
822	2.238044491
823	2.234629113
824	2.233211014
825	2.232744159
826	2.23060133
827	2.227665933
828	2.226394479
829	2.222471436
830	2.219742038
831	2.217488451
832	2.216474004
833	2.214859687
834	2.213383576
835	2.212900282
836	2.210154421
837	2.205269495
838	2.204845012
839	2.202874122
840	2.202639498
841	2.198440809
842	2.195622411
843	2.195394996
844	2.192919652
845	2.191599445
846	2.188116469
847	2.187319034
848	2.182700292
849	2.180324578
850	2.177094237
851	2.176468899
852	2.174459518
853	2.172163064
854	2.169855606
855	2.168893187
856	2.165910682
857	2.165576067
858	2.164151673
859	2.15974281
860	2.156133141
861	2.152343138
862	2.150824448
863	2.149791602
864	2.148575135
865	2.147523872
866	2.144778868
867	2.14384725
868	2.140976539
869	2.138357729
870	2.137062738
871	2.136115195
872	2.133152944
873	2.132124345
874	2.129194016
875	2.128757079
876	2.124024072
877	2.122718351
878	2.120332866
879	2.119028906
880	2.116934689
881	2.114528218
882	2.112684936
883	2.112545658
884	2.111199424
885	2.108795932
886	2.10851217
887	2.108183044
888	2.107211447
889	2.103764893
890	2.100981823
891	2.099546891
892	2.0976668
893	2.0960334
894	2.095243242
895	2.094374567
896	2.093954896
897	2.090824891
898	2.08792497
899	2.085355014
900	2.083204969
901	2.080295611
902	2.077955507
903	2.076080556
904	2.074220822
905	2.072892878
906	2.070964755
907	2.070154487
908	2.067103199
909	2.064346292
910	2.061694842
911	2.060394613
912	2.059895404
913	2.057573979
914	2.054629693
915	2.052110853
916	2.048937912
917	2.047661569
918	2.047046339
919	2.043844853
920	2.043459179
921	2.04020462
922	2.038124261
923	2.035543947
924	2.03509907
925	2.032596231
926	2.031099047
927	2.027073759
928	2.024901164
929	2.022228924
930	2.021557249
931	2.020443144
932	2.018065044
933	2.015850662
934	2.011522348
935	2.008772602
936	2.00656206
937	2.004392528
938	2.00175301
939	2.00159683
940	2.000608807
941	1.999524744
942	1.999351708
943	1.997544442
944	1.997376494
945	1.997319538
946	1.99431638
947	1.994245505
948	1.991270497
949	1.990054424
950	1.986667654
951	1.986003186
952	1.983992136
953	1.98175383
954	1.979526178
955	1.9775385
956	1.974998869
957	1.972701823
958	1.969486649
959	1.966963457
960	1.964112615
961	1.964043341
962	1.963535298
963	1.963133776
964	1.960970743
965	1.957437342
966	1.956435336
967	1.953394838
968	1.949862216
969	1.948634638
970	1.948103703
971	1.947351788
972	1.945516715
973	1.943728203
974	1.942676109
975	1.941222193
976	1.938160566
977	1.934938121
978	1.932253488
979	1.931460423
980	1.928255368
981	1.92486064
982	1.921119615
983	1.92017642
984	1.918915014
985	1.916240055
986	1.914636393
987	1.91203903
988	1.911119895
989	1.908206561
990	1.906341263
991	1.903878222
992	1.901370779
993	1.89966868
994	1.898443168
995	1.896680755
996	1.893694182
997	1.89317638
998	1.892528463
999	1.890466195
